Prism Launcher Version,Client version,Protocol version,Data version,Resource pack format,Data pack format
26.3-snapshot-4,26.3 Snapshot 4,0x40000146,5003,92.0,111.0
26.3-snapshot-3,26.3 Snapshot 3,0x40000145,5001,91.0,110.0
26.3-snapshot-2,26.3 Snapshot 2,0x40000144,4999,90.0,109.0
26.3-snapshot-1,26.3 Snapshot 1,0x40000143,4998,89.0,108.0
26.2,26.2,776,4903,88.0,107.1
26.2-rc-2,26.2 Release Candidate 2,0x40000142,4902,88.0,107.1
26.2-rc-1,26.2 Release Candidate 1,0x40000141,4901,88.0,107.1
26.2-pre-6,26.2 Pre-Release 6,0x40000140,4900,88.0,107.1
26.2-pre-5,26.2 Pre-Release 5,0x4000013F,4898,88.0,107.1
26.2-pre-4,26.2 Pre-Release 4,0x4000013E,4897,88.0,107.1
26.2-pre-3,26.2 Pre-Release 3,0x4000013D,4896,88.0,107.0
26.2-pre-2,26.2 Pre-Release 2,0x4000013C,4895,88.0,107.0
26.2-pre-1,26.2 Pre-Release 1,0x4000013B,4894,88.0,106.1
26.2-snapshot-8,26.2 Snapshot 8,0x4000013A,4893,87.0,106.0
26.2-snapshot-7,26.2 Snapshot 7,0x40000139,4891,87.0,105.1
26.2-snapshot-6,26.2 Snapshot 6,0x40000138,4890,86.2,105.0
26.2-snapshot-5,26.2 Snapshot 5,0x40000137,4889,86.2,104.0
26.2-snapshot-4,26.2 Snapshot 4,0x40000136,4887,86.1,103.0
26.2-snapshot-3,26.2 Snapshot 3,0x40000135,4886,86.0,102.0
26.2-snapshot-2,26.2 Snapshot 2,0x40000134,4884,85.0,101.2
26.2-snapshot-1,26.2-snapshot-1,0x40000132,4883,85.0,101.2
26.1.2,26.1.2,775,4790,84.0,101.1
26.1.2-rc-1,26.1.2 Release Candidate 1,0x40000133,4789,84.0,101.1
26.1.1,26.1.1,775,4788,84.0,101.1
26.1.1-rc-1,26.1.1 Release Candidate 1,0x40000130,4787,84.0,101.1
26.1,26.1,775,4786,84.0,101.1
26.1-rc-3,26.1 Release Candidate 3,0x4000012F,4785,84.0,101.1
26.1-rc-2,26.1 Release Candidate 2,0x4000012E,4784,84.0,101.1
26.1-rc-1,26.1 Release Candidate 1,0x4000012D,4783,84.0,101.1
26.1-pre-3,26.1 Pre-Release 3,0x4000012C,4782,84.0,101.1
26.1-pre-2,26.1 Pre-Release 2,0x4000012B,4781,84.0,101.0
26.1-pre-1,26.1 Pre-Release 1,0x4000012A,4780,84.0,101.0
26.1-snapshot-11,26.1 Snapshot 11,0x40000129,4779,83.0,100.0
26.1-snapshot-10,26.1 Snapshot 10,0x40000128,4778,82.0,99.3
26.1-snapshot-9,26.1 Snapshot 9,0x40000127,4777,81.1,99.2
26.1-snapshot-8,26.1 Snapshot 8,0x40000126,4776,81.1,99.2
26.1-snapshot-7,26.1 Snapshot 7,0x40000125,4775,81.0,99.1
26.1-snapshot-6,26.1 Snapshot 6,0x40000124,4774,80.0,99.0
26.1-snapshot-5,26.1 Snapshot 5,0x40000123,4770,79.0,98.0
26.1-snapshot-4,26.1 Snapshot 4,0x40000122,4768,78.1,97.1
26.1-snapshot-3,26.1 Snapshot 3,0x40000121,4767,78.0,97.0
26.1-snapshot-2,26.1 Snapshot 2,0x40000120,4765,77.0,96.0
26.1-snapshot-1,26.1 Snapshot 1,0x4000011F,4764,76.0,95.0
1.21.11,1.21.11,774,4671,75.0,94.1
1.21.11_unobfuscated,1.21.11 Unobfuscated,774,4671,75.0,94.1
1.21.11-rc-3,1.21.11 Release Candidate 3,0x4000011E,4670,75.0,94.1
1.21.11-rc-3_unobfuscated,1.21.11 Release Candidate 3 Unobfuscated,0x4000011E,4670,75.0,94.1
1.21.11-rc-2,1.21.11 Release Candidate 2,0x4000011D,4669,75.0,94.1
1.21.11-rc-2_unobfuscated,1.21.11 Release Candidate 2 Unobfuscated,0x4000011D,4669,75.0,94.1
1.21.11-rc-1,1.21.11 Release Candidate 1,0x4000011C,4668,75.0,94.1
1.21.11-rc-1_unobfuscated,1.21.11 Release Candidate 1 Unobfuscated,0x4000011C,4668,75.0,94.1
1.21.11-pre-5,1.21.11 Pre-Release 5,0x4000011B,4667,75.0,94.1
1.21.11-pre-5_unobfuscated,1.21.11 Pre-Release 5 Unobfuscated,0x4000011B,4667,75.0,94.1
1.21.11-pre-4,1.21.11 Pre-Release 4,0x4000011A,4666,75.0,94.1
1.21.11-pre-4_unobfuscated,1.21.11 Pre-Release 4 Unobfuscated,0x4000011A,4666,75.0,94.1
1.21.11-pre-3,1.21.11 Pre-Release 3,0x40000119,4665,75.0,94.0
1.21.11-pre-3_unobfuscated,1.21.11 Pre-Release 3 Unobfuscated,0x40000119,4665,75.0,94.0
1.21.11-pre-2,1.21.11 Pre-Release 2,0x40000118,4664,75.0,94.0
1.21.11-pre-2_unobfuscated,1.21.11 Pre-Release 2 Unobfuscated,0x40000118,4664,75.0,94.0
1.21.11-pre-1,1.21.11 Pre-Release 1,0x40000117,4663,75.0,94.0
1.21.11-pre-1_unobfuscated,1.21.11 Pre-Release 1 Unobfuscated,0x40000117,4663,75.0,94.0
25w46a,25w46a,0x40000116,4662,74.0,93.1
25w46a_unobfuscated,25w46a Unobfuscated,0x40000116,4662,74.0,93.1
25w45a,25w45a,0x40000115,4660,73.0,93.0
25w45a_unobfuscated,25w45a Unobfuscated,0x40000115,4660,73.0,93.0
25w44a,25w44a,0x40000114,4659,72.0,92.0
25w43a,25w43a,0x40000113,4655,71.0,91.0
25w42a,25w42a,0x40000112,4654,70.1,90.0
25w41a,25w41a,0x40000111,4653,70.0,89.0
1.21.10,1.21.10,773,4556,69.0,88.0
1.21.10-rc-1,1.21.10 Release Candidate 1,0x40000112,4555,69.0,88.0
1.21.9,1.21.9,773,4554,69.0,88.0
1.21.9-rc-1,1.21.9 Release Candidate 1,0x40000111,4553,69.0,88.0
1.21.9-pre-4,1.21.9 Pre-Release 4,0x40000110,4552,69.0,88.0
1.21.9-pre-3,1.21.9 Pre-Release 3,0x4000010F,4551,69.0,88.0
1.21.9-pre-2,1.21.9 Pre-Release 2,0x4000010E,4550,69.0,88.0
1.21.9-pre-1,1.21.9 Pre-Release 1,0x4000010D,4548,69.0,87.1
25w37a,25w37a,0x4000010C,4547,69.0,87.0
25w36b,25w36b,0x4000010B,4546,68.0,86.0
25w36a,25w36a,0x4000010A,4545,68.0,86.0
25w35a,25w35a,0x40000109,4542,67.0,85.0
25w34b,25w34b,0x40000108,4540,66.0,84.0
25w34a,25w34a,0x40000107,4539,66.0,84.0
25w33a,25w33a,0x40000106,4538,65.2,83.1
25w32a,25w32a,0x40000105,4536,65.1,83.0
25w31a,25w31a,0x40000104,4534,65.0,82.0
1.21.8,1.21.8,772,4440,64,81
1.21.8-rc-1,1.21.8 Release Candidate 1,0x40000103,4439,64,81
1.21.7,1.21.7,772,4438,64,81
1.21.7-rc-2,1.21.7 Release Candidate 2,0x40000102,4437,64,81
1.21.7-rc-1,1.21.7 Release Candidate 1,0x40000101,4436,63,80
1.21.6,1.21.6,771,4435,63,80
1.21.6-rc-1,1.21.6 Release Candidate 1,0x40000100,4434,63,80
1.21.6-pre-4,1.21.6 Pre-Release 4,0x400000FF,4433,63,80
1.21.6-pre-3,1.21.6 Pre-Release 3,0x400000FE,4432,63,80
1.21.6-pre-2,1.21.6 Pre-Release 2,0x400000FD,4431,63,79
1.21.6-pre-1,1.21.6 Pre-Release 1,0x400000FC,4430,63,79
25w21a,25w21a,0x400000FB,4429,62,78
25w20a,25w20a,0x400000FA,4428,61,77
25w19a,25w19a,0x400000F9,4427,60,76
25w18a,25w18a,0x400000F8,4426,59,75
25w17a,25w17a,0x400000F7,4425,58,74
25w16a,25w16a,0x400000F6,4423,57,73
25w15a,25w15a,0x400000F5,4422,56,72
1.21.5,1.21.5,770,4325,55,71
1.21.5-rc-2,1.21.5 Release Candidate 2,0x400000F3,4324,55,71
1.21.5-rc-1,1.21.5 Release Candidate 1,0x400000F2,4323,55,71
1.21.5-pre-3,1.21.5 Pre-Release 3,0x400000F1,4322,55,71
1.21.5-pre-2,1.21.5 Pre-release 2,0x400000F0,4321,55,71
1.21.5-pre-1,1.21.5 Pre-Release 1,0x400000EF,4320,55,70
25w10a,25w10a,0x400000EE,4319,54,70
25w09b,25w09b,0x400000ED,4318,53,69
25w09a,25w09a,0x400000EC,4317,53,69
25w08a,25w08a,0x400000EB,4316,53,68
25w07a,25w07a,0x400000EA,4315,52,67
25w06a,25w06a,0x400000E9,4313,51,66
25w05a,25w05a,0x400000E8,4310,50,65
